Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1990 UNC 1 Oz 999 SILVER MEXICO Libertad Pura Plata Limited Rare Coin Round,157693988717,"Apr 20, 2026",$170.00,$1.36,,,Fixed price,https://www.ebay.com/itm/157693988717,1
1990 México Libertad 1 Oz .999 Silver,127808969571,"Apr 18, 2026",$127.50,$5.40,,,Auction,https://www.ebay.com/itm/127808969571,1
1990 Mexican Libertad Uncirculated 1 OZ Silver Coin Very Rare Date Low Mintage,327081287804,"Apr 16, 2026",$159.00,$0.00,,,Fixed price,https://www.ebay.com/itm/327081287804,1
1990 Mexican Libertad Uncirculated 1 OZ Silver Coin Very Rare Date Low Mintage,327081287583,"Apr 15, 2026",$169.00,$0.00,,,Fixed price,https://www.ebay.com/itm/327081287583,1
Better Date 1990 Mo 1 Oz. Mexico Silver Libertad,157833267508,"Apr 14, 2026",$155.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157833267508,1
Better Date 1990 Mo 1 Oz. Mexico Silver Libertad,168307200865,"Apr 14, 2026",$150.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168307200865,1
1990 Mexico Libertad / Onza 1 oz .999 Fine Silver,267619023092,"Apr 14, 2026",$189.95,$7.95,,,Fixed price,https://www.ebay.com/itm/267619023092,1
1990-Mo Mexico Proof Silver Libertad 1oz Silver Coin NGC PF 69 Ultra Cameo,397798434928,"Apr 10, 2026",$343.89,$7.99,,,Auction,https://www.ebay.com/itm/397798434928,1
1990 Mexican Libertad Uncirculated 1 OZ Silver Coin Very Rare Date Low Mintage,287252191916,"Apr 9, 2026",$134.99,$6.00,,,Fixed price,https://www.ebay.com/itm/287252191916,1
1990 Mexican Libertad Uncirculated 1 OZ Silver Coin Very Rare Date Low Mintage,327081288196,"Apr 9, 2026",$149.00,$0.00,,,Fixed price,https://www.ebay.com/itm/327081288196,1
1990 Mo Mexico Libertad Onza 1 oz .999 Silver Coin PCGS MS67,397614007834,"Apr 8, 2026",$259.00,$0.00,,,Fixed price,https://www.ebay.com/itm/397614007834,1
1990 Mexican Libertad Uncirculated 1 OZ Silver Coin Very Rare Date Low Mintage,327081288384,"Apr 5, 2026",$139.00,$0.00,,,Fixed price,https://www.ebay.com/itm/327081288384,1
1990 México 1 oz Silver Libertad Una Onza Plata Pura .999 Fine-Better Date!,377066025183,"Apr 5, 2026",$208.50,$5.13,,,Auction,https://www.ebay.com/itm/377066025183,1
1990 Mexican Libertad 1 Onza Plata Pura 1 Ounce .999 Fine Silver Coin - Gem BU,257425105868,"Apr 4, 2026",$164.50,$6.00,,,Auction,https://www.ebay.com/itm/257425105868
1990-Mo Mexico 1 oz Silver Libertad PCGS MS 68 | Uncirculated UNC BU,304686378933,"Apr 1, 2026",$449.95,$0.00,,,Fixed price,https://www.ebay.com/itm/304686378933,1
1990 Mo 1 oz Mexican Silver Libertad .999 Silver,336502789017,"Mar 31, 2026",$152.50,$5.52,,,Auction,https://www.ebay.com/itm/336502789017,1
1990-Mo Mexico Proof Silver Libertad 1oz .999 Silver Coin NGC PF 68 Ultra Cameo,267621025224,"Mar 26, 2026",$239.95,$0.00,,,Fixed price,https://www.ebay.com/itm/267621025224,1
1990-Mo Mexico Proof Silver Libertad 1oz Silver Coin NGC PF 69 Ultra Cameo,397745296344,"Mar 26, 2026",$318.01,$7.99,,,Auction,https://www.ebay.com/itm/397745296344,1
1990 Mexico Libertad 1 oz Silver Coin BU,287218470487,"Mar 25, 2026",$140.00,$7.95,,,Fixed price,https://www.ebay.com/itm/287218470487,1
"Mexico Libertad 1990, 1 Oz .999 Fine Silver Coin, Liberta Gordita Plata KEY-DATE",257412785974,"Mar 20, 2026",$158.50,$5.52,,,Auction,https://www.ebay.com/itm/257412785974
1990 Mo PCGS MS67 - Mexico 1 oz Silver 0.999 Libertad Onza Coin #57926A,326877662291,"Mar 20, 2026",$239.95,$0.00,,,Fixed price,https://www.ebay.com/itm/326877662291,1
1990 Mo Mexico Libertad Onza 1 oz .999 Silver Coin PCGS MS67 Gold Shield,327032209445,"Mar 20, 2026",$239.00,$7.95,,,Fixed price,https://www.ebay.com/itm/327032209445,1
1990 libertad 1 oz Silver .999 Mexico,206138708318,"Mar 17, 2026",$158.09,$7.70,,,Fixed price,https://www.ebay.com/itm/206138708318
1990 libertad 1 oz .999 Silver,206094295924,"Mar 15, 2026",$174.99,$7.95,,,Fixed price,https://www.ebay.com/itm/206094295924
1990 Mexico PCGS PR69DAM 1 oz Silver Libertad Proof (w/COA),257399514725,"Mar 14, 2026",$310.00,$7.31,,,Fixed price,https://www.ebay.com/itm/257399514725
1990 Mexico Libertad 1 Onza .999 Silver Coin ‼️BETTER DATE ➖ HIGH GRADE‼️,327027310946,"Mar 11, 2026",$209.95,$6.43,,,Fixed price,https://www.ebay.com/itm/327027310946,1
1990 Mo Mexico Libertad Onza 1 oz 99.9% Silver Proof OGP COA #4281/10000,257399858200,"Mar 10, 2026",$215.00,$5.00,,,Fixed price,https://www.ebay.com/itm/257399858200
1990 Libertad Silver 1 oz Mexico,117067287563,"Mar 7, 2026",$125.00,$6.00,,,Auction,https://www.ebay.com/itm/117067287563
ngc ms69 1990 proof mexican libertad silver;,177849307750,"Mar 7, 2026",$500.00,$5.45,,,Fixed price,https://www.ebay.com/itm/177849307750
1990 Mexico PROOF LIBERTAD .999 Silver 1oz Coin 1 Onza Plata Pura,397626372412,"Feb 25, 2026",$180.00,$5.00,,,Fixed price,https://www.ebay.com/itm/397626372412,1
1990-Mo Mexico Silver Libertad 1 Onza PCGS MS-68 Gold Shield Label,389645960247,"Feb 24, 2026",$320.00,$10.15,,,Fixed price,https://www.ebay.com/itm/389645960247,1
1990-Mo Mexico Silver Libertad 1 Onza PCGS MS-68,157614726025,"Feb 22, 2026",$291.00,$5.95,,,Fixed price,https://www.ebay.com/itm/157614726025
,,"Feb 22, 2026",$291.00,$5.95,,,Fixed price,,1
1990 Mo Mexico Libertad Onza 1 oz 99.9% Silver Proof Spotted OGP COA #4621/10000,177871157921,"Feb 17, 2026",$225.00,$6.95,,,Fixed price,https://www.ebay.com/itm/177871157921
,,"Feb 17, 2026",$225.00,$6.95,,,Fixed price,,1
"Mexico Libertad 1990, 1 Oz .999 Fine Silver Coin, Liberta Gordita Plata KEY-DATE",389628054030,"Feb 15, 2026",$179.99,$8.99,,,Auction,https://www.ebay.com/itm/389628054030,1
1990 UNC 1 Oz 999 SILVER MEXICO Libertad Pura Plata Limited Rare Coin Round,285917033933,"Feb 11, 2026",$199.99,$8.99,,,Fixed price,https://www.ebay.com/itm/285917033933,1
1990 Mexico Libertad 1 Ounce .999 Fine Silver Coin (bbb),326977934366,"Feb 9, 2026",$96.50,$6.00,,,Auction,https://www.ebay.com/itm/326977934366,1
1990 Mexico LIBERTAD 1 oz .999 silver coin NGC UNC 1 Onza Plata Pura,389578625976,"Feb 9, 2026",$160.00,$4.81,,,Auction,https://www.ebay.com/itm/389578625976,1
A 1990 Mexican Libertad Uncirculated 1 OZ Silver Coin Very Rare Date Low Mintage,306742441050,"Feb 7, 2026",$112.50,$5.00,,,Auction,https://www.ebay.com/itm/306742441050,1
1990 Libertad Proof 1 Oz .999 Olympics 5 Rings Added By A Private Dealer,206052281525,"Feb 6, 2026",$179.99,$8.30,,,Fixed price,https://www.ebay.com/itm/206052281525
,,"Feb 6, 2026",$179.99,$8.30,,,Fixed price,,1
Libertad 1990 Proof 1oz .999 Silver,136995276192,"Feb 3, 2026",$142.50,$5.07,,,Auction,https://www.ebay.com/itm/136995276192
,,"Feb 3, 2026",$142.50,$5.07,,,Auction,,1
1990 Mo Mexico Libertad Onza 1 oz Proof 99.9 % Silver PCGS PR69 DCAM,177757624244,"Feb 1, 2026",$299.00,$6.95,,,Fixed price,https://www.ebay.com/itm/177757624244
,,"Feb 1, 2026",$299.00,$6.95,,,Fixed price,,1
1990-Mo Mexico Mexican Libertad Silver 1 Onza PCGS MS 68,157634798583,"Jan 29, 2026",$295.00,$5.39,,,Auction,https://www.ebay.com/itm/157634798583
1990 Mo ANACS MS68 - MEXICO - 1 oz Silver Libertad Onza,267495572857,"Jan 29, 2026",$249.00,$6.95,,,Fixed price,https://www.ebay.com/itm/267495572857
,,"Jan 29, 2026",$295.00,$5.39,,,Auction,,1
,,"Jan 29, 2026",$249.00,$6.95,,,Fixed price,,1
"⚡️⚡️1990 MEXICO LIBERTAD 1 ONZA, UNC ⭐ ASW: 1 OZ ⭐SILVER COIN",389547984835,"Jan 28, 2026",$135.00,$5.60,,,Fixed price,https://www.ebay.com/itm/389547984835,1
,,"Jan 28, 2026",$135.00,$5.60,,,Fixed price,,1
Mexico - 1990 - 1 oz. .999 Silver Libertad Onza - BU,116861990274,"Jan 26, 2026",$135.00,$6.00,,,Fixed price,https://www.ebay.com/itm/116861990274
1990 Mexican Libertad Uncirculated 1 OZ Silver Coin Very Rare Date Low Mintage,326947127323,"Jan 26, 2026",$164.00,$0.00,,,Fixed price,https://www.ebay.com/itm/326947127323,1
,,"Jan 26, 2026",$135.00,$6.00,,,Fixed price,,1
,,"Jan 26, 2026",$164.00,$0.00,,,Fixed price,,1
1990 Mexico Libertad 1 Oz .999 - Uncirculated Silver Bullion,177807847876,"Jan 25, 2026",$127.00,$5.07,,,Fixed price,https://www.ebay.com/itm/177807847876
,,"Jan 25, 2026",$120.00,$6.99,,,Auction,,1
,,"Jan 25, 2026",$127.00,$5.07,,,Fixed price,,1
A 1990 Mexican Libertad Uncirculated 1 OZ Silver Coin Very Rare Date Low Mintage,306716931592,"Jan 24, 2026",$121.50,$4.00,,,Auction,https://www.ebay.com/itm/306716931592,1
1990 Mexican Libertad Uncirculated 1 OZ Silver Coin Very Rare Date Low Mintage,326947121233,"Jan 24, 2026",$164.00,$0.00,,,Fixed price,https://www.ebay.com/itm/326947121233,1
,,"Jan 24, 2026",$121.50,$4.00,,,Auction,,1
,,"Jan 24, 2026",$164.00,$0.00,,,Fixed price,,1
1990 Mexican Libertad Uncirculated 1 OZ Silver Coin Very Rare Date Low Mintage,326947121370,"Jan 23, 2026",$149.00,$0.00,,,Fixed price,https://www.ebay.com/itm/326947121370,1
1990 Mexican Libertad Uncirculated 1 OZ Silver Coin Very Rare Date Low Mintage,326947134890,"Jan 23, 2026",$139.00,$0.00,,,Fixed price,https://www.ebay.com/itm/326947134890,1
,,"Jan 23, 2026",$149.00,$0.00,,,Fixed price,,1
,,"Jan 23, 2026",$139.00,$0.00,,,Fixed price,,1
1990 Mo Mexico Libertad Onza Plata Pura 1 troy oz .999 Fine Silver Coin BU,157626839851,"Jan 20, 2026",$117.50,$7.95,,,Fixed price,https://www.ebay.com/itm/157626839851
1984 & 1990 Mexico 1 oz Silver Libertad Rainbow Toning,277632936310,"Jan 20, 2026",$249.95,$0.00,,,Fixed price,https://www.ebay.com/itm/277632936310,1
1990 Mo Mexico Libertad Onza 1 oz .999 Silver - SKU-Q3055,317760207048,"Jan 20, 2026",$147.50,$5.50,,,Auction,https://www.ebay.com/itm/317760207048,1
,,"Jan 20, 2026",$117.50,$7.95,,,Fixed price,,1
,,"Jan 20, 2026",$249.95,$0.00,,,Fixed price,,1
,,"Jan 20, 2026",$147.50,$5.50,,,Auction,,1
1990 Mo Mexico Libertad Onza Plata Pura 1 troy oz .999 Fine Silver Coin BU,157622491723,"Jan 19, 2026",$117.00,$7.95,,,Fixed price,https://www.ebay.com/itm/157622491723
,,"Jan 19, 2026",$117.00,$7.95,,,Fixed price,,1
"Mexico Libertad 1990, 1 Oz .999 Fine Silver Coin, Liberta Gordita Plata KEY-DATE",389483330304,"Jan 18, 2026",$119.99,$5.99,,,Auction,https://www.ebay.com/itm/389483330304,1
,,"Jan 18, 2026",$119.99,$5.99,,,Auction,,1
1990-Mo (MS67) 1 oz Silver Mexico Onza Libertad NGC - Superb GEM!,177553298360,"Jan 17, 2026",$154.99,$0.00,,,Fixed price,https://www.ebay.com/itm/177553298360
1990 1 Oz .999 Fine Silver Proof Mexico Libertad Un Onza Plata Pura In OGP Box!!,157615801037,"Jan 17, 2026",$250.00,$8.75,,,Fixed price,https://www.ebay.com/itm/157615801037
1990 Mexican Libertad Uncirculated 1 OZ Silver Coin Very Rare Date Low Mintage,297835374724,"Jan 17, 2026",$110.00,$5.00,,,Fixed price,https://www.ebay.com/itm/297835374724,1
1990 UNC 1 Oz 999 SILVER MEXICO Libertad Pura Plata Limited Rare Nat.Toning Coin,326906318175,"Jan 17, 2026",$140.00,$4.80,,,Fixed price,https://www.ebay.com/itm/326906318175,1
1990 Mexican Libertad 1 OZ Silver Coin,326959920043,"Jan 17, 2026",$100.00,$5.24,,,Fixed price,https://www.ebay.com/itm/326959920043,1
1990-Mo Mexico Proof Silver Libertad 1oz Silver Coin NGC PF 69 Ultra Cameo,397483474542,"Jan 17, 2026",$325.00,$7.99,,,Auction,https://www.ebay.com/itm/397483474542,1
,,"Jan 17, 2026",$250.00,$8.75,,,Fixed price,,1
,,"Jan 17, 2026",$110.00,$5.00,,,Fixed price,,1
,,"Jan 17, 2026",$140.00,$4.80,,,Fixed price,,1
,,"Jan 17, 2026",$100.00,$5.24,,,Fixed price,,1
,,"Jan 17, 2026",$325.00,$7.99,,,Auction,,1
1990 Mexican Libertad Uncirculated 1 OZ Silver Coin Very Rare Date Low Mintage,326947140758,"Jan 16, 2026",$124.00,$0.00,,,Fixed price,https://www.ebay.com/itm/326947140758,1
,,"Jan 16, 2026",$124.00,$0.00,,,Fixed price,,1
1990 Silver Libertad 1 oz PROOF NGC Ultra Cameo PF69,157603352498,"Jan 15, 2026",$299.99,$7.20,,,Fixed price,https://www.ebay.com/itm/157603352498
,,"Jan 15, 2026",$299.99,$7.20,,,Fixed price,,1
1990 Mexico Libertad 1 Onza Plata Pura 1 oz .999 Fine Silver Coin,177729096202,"Jan 14, 2026",$121.71,$0.00,,,Fixed price,https://www.ebay.com/itm/177729096202
1990 Mo PCGS MS66 - Mexico 1 oz Silver 0.999 Libertad Onza Coin #58433A,326954564043,"Jan 14, 2026",$159.95,$0.00,,,Fixed price,https://www.ebay.com/itm/326954564043,1
,,"Jan 14, 2026",$121.71,$0.00,,,Fixed price,,1
,,"Jan 14, 2026",$159.95,$0.00,,,Fixed price,,1
1990 UNC 1 Oz 999 SILVER MEXICO Libertad Pura Plata some Nat Toning Coin,326906316578,"Jan 13, 2026",$115.00,$4.95,,,Fixed price,https://www.ebay.com/itm/326906316578,1
1990 Mexico 1 oz Silver Libertad MS 66,326940303407,"Jan 13, 2026",$137.50,$4.96,,,Auction,https://www.ebay.com/itm/326940303407,1
,,"Jan 13, 2026",$115.00,$4.95,,,Fixed price,,1
,,"Jan 13, 2026",$137.50,$4.96,,,Auction,,1
1990-Mo (PR67 DCAM) Proof Libertad Onza 1 oz Silver PCGS,177529628797,"Jan 12, 2026",$235.00,$0.00,,,Fixed price,https://www.ebay.com/itm/177529628797
,,"Jan 12, 2026",$143.00,$7.50,,,Auction,,1
,,"Jan 12, 2026",$235.00,$0.00,,,Fixed price,,1
,,"Jan 11, 2026",$289.00,$0.00,,,Fixed price,,1
,,"Jan 10, 2026",$105.00,$4.00,,,Auction,,1
,,"Jan 9, 2026",$230.00,$4.99,,,Fixed price,,1
,,"Jan 8, 2026",$325.00,$0.00,,,Auction,
,,"Jan 8, 2026",$190.00,$8.00,,,Auction,,1
,,"Jan 4, 2026",$154.00,$6.95,,,Fixed price,
,,"Jan 3, 2026",$256.50,$9.99,,,Auction,,1
,,"Jan 2, 2026",$129.95,$0.00,,,Fixed price,,1
,,"Jan 1, 2026","$1,450.00",$13.00,,,Fixed price,
,,"Jan 1, 2026",$125.00,$0.00,,,Fixed price,,1
,,"Dec 31, 2025",$299.99,$7.35,,,Fixed price,
,,"Dec 31, 2025",$127.00,$0.00,,,Fixed price,
,,"Dec 31, 2025",$195.00,$0.00,,,Fixed price,,1
,,"Dec 28, 2025",$103.50,$4.50,,,Auction,
,,"Dec 26, 2025",$295.00,$0.00,,,Fixed price,,1
,,"Dec 26, 2025",$100.00,$4.76,,,Fixed price,,1
,,"Dec 24, 2025",$150.00,$4.00,,,Fixed price,,1
,,"Dec 23, 2025",$89.99,$5.99,,,Auction,,1
,,"Dec 22, 2025",$93.50,$7.80,,,Auction,,1
,,"Dec 18, 2025",$91.00,$3.11,,,Auction,,1
,,"Dec 17, 2025",$116.00,$5.00,,,Fixed price,
,,"Dec 15, 2025",$180.00,$10.45,,,Fixed price,
,,"Dec 15, 2025",$139.00,$6.95,,,Fixed price,
,,"Dec 15, 2025",$75.00,$7.80,,,Auction,,1
,,"Dec 14, 2025",$260.00,$0.00,,,Fixed price,
,,"Dec 14, 2025",$93.00,$5.99,,,Auction,,1
,,"Dec 12, 2025",$128.00,$4.76,,,Fixed price,
,,"Dec 9, 2025",$227.00,$7.99,,,Auction,,1
,,"Dec 6, 2025",$147.87,$4.95,,,Fixed price,
,,"Dec 6, 2025",$150.00,$6.00,,,Auction,,1
Mexico Libertad 1 Oz Silver 1990,374939366072,"Dec 1, 2025",$99.00,$100.00,,,Fixed price,https://www.ebay.com/itm/374939366072,2
,,"Nov 30, 2025",$94.00,$0.00,,,Auction,
,,"Nov 30, 2025",$85.00,$0.00,,,Fixed price,
,,"Nov 30, 2025",$99.00,$0.00,,,Auction,
,,"Nov 28, 2025",$85.00,$0.00,,,Fixed price,,1
,,"Nov 27, 2025",$94.00,$4.95,,,Fixed price,
,,"Nov 23, 2025",$112.00,$7.50,,,Fixed price,,1
,,"Nov 19, 2025",$96.00,$5.99,,,Auction,,1
,,"Nov 19, 2025",$250.50,$7.99,,,Auction,,1
,,"Nov 16, 2025",$92.00,$4.60,,,Fixed price,,1
,,"Nov 15, 2025",$150.00,$4.25,,,Auction,,1
,,"Nov 12, 2025",$99.00,$4.95,,,Fixed price,
,,"Nov 11, 2025",$92.00,$4.60,,,Auction,
,,"Nov 9, 2025",$89.99,$5.99,,,Auction,,1
,,"Nov 8, 2025",$207.50,$7.99,,,Auction,,1
,,"Nov 7, 2025",$77.00,$5.95,,,Auction,
,,"Nov 4, 2025",$211.50,$0.00,,,Fixed price,,1
,,"Nov 2, 2025",$84.99,$3.99,,,Auction,,1
,,"Nov 1, 2025",$70.00,$4.99,,,Auction,
,,"Oct 28, 2025",$64.08,$3.95,,,Auction,
,,"Oct 28, 2025",$76.00,$3.95,,,Auction,
,,"Oct 28, 2025",$82.00,$3.99,,,Auction,
,,"Oct 27, 2025",$194.50,$7.99,,,Auction,,1
,,"Oct 26, 2025",$81.90,$7.20,,,Auction,
,,"Oct 22, 2025",$130.00,$4.76,,,Fixed price,,1
,,"Oct 20, 2025",$94.50,$0.91,,,Auction,,1
,,"Oct 19, 2025",$86.00,$7.99,,,Auction,,1
,,"Oct 18, 2025",$237.00,$2.95,,,Fixed price,
,,"Oct 15, 2025",$90.00,$5.50,,,Fixed price,,1
,,"Oct 14, 2025",$81.00,$4.69,,,Auction,
,,"Oct 14, 2025",$155.00,$3.32,,,Fixed price,,1
