Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1966 US Special Mint Set SMS 5 Coins with 40% Silver Kennedy Half Dollar and Box,227274499542,"Apr 1, 2026",$24.99,$0.00,,,Fixed price,https://www.ebay.com/itm/227274499542
1965 1966 1967 SMS Roosevelt Dime Run 3 Gem Special Mint Set CN-Clad,131394980995,"Mar 31, 2026",$4.80,$3.95,,,Fixed price,https://www.ebay.com/itm/131394980995
"5 sets of 3 (1965, 1966, 1967) US SMS (special mint sets) silver Kennedy's",137185120721,"Mar 31, 2026",$250.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137185120721
Original Box Of 10 1966 US Special Mint Set SMS 40% Silver Kennedy OGP FREE SHIP,137164411926,"Mar 30, 2026",$199.95,$0.00,,,Fixed price,https://www.ebay.com/itm/137164411926
"1965, 1966, 1967 US SMS (special mint sets) silver Kennedy's, US Mint Packages",157773948356,"Mar 30, 2026",$54.95,$0.00,,,Fixed price,https://www.ebay.com/itm/157773948356
1965 1966 1967 SMS Jefferson Nickel Run 3 Gem Special Mint Set Run,137104707523,"Mar 29, 2026",$4.64,$3.95,,,Fixed price,https://www.ebay.com/itm/137104707523
"1965, 1966, 1967 US SMS (special mint sets) silver Kennedy's, US Mint Packages#2",147215978342,"Mar 29, 2026",$54.95,$0.00,,,Fixed price,https://www.ebay.com/itm/147215978342
"1965, 1966, 1967 US SMS (special mint sets) silver Kennedy's, US Mint Packages#3",147215981802,"Mar 29, 2026",$54.95,$0.00,,,Fixed price,https://www.ebay.com/itm/147215981802
1966 (P) SMS Roosevelt Dime 10¢ - Special Mint Set - Proof Like,146252743656,"Mar 28, 2026",$1.35,$0.81,,,Fixed price,https://www.ebay.com/itm/146252743656
1966 SMS Kennedy Half Dollar Gem BU Special Mint Set 40% Silver,143302431957,"Mar 27, 2026",$19.56,$3.95,,,Fixed price,https://www.ebay.com/itm/143302431957
1965 1966 1967 SMS 40% Silver Kennedy Half Dollar Choice Run 3 Special Mint Set,401480798714,"Mar 27, 2026",$50.45,$4.95,,,Fixed price,https://www.ebay.com/itm/401480798714
1965 1966 1967 SMS Jefferson 5¢ Nickel - Choice to Gem Special Mint Set Issue,145962592101,"Mar 27, 2026",$5.25,$0.00,,,Fixed price,https://www.ebay.com/itm/145962592101
1966 US Special Mint Set SMS 5 Coins with 40% Silver Kennedy Half Dollar and Box,377044627877,"Mar 26, 2026",$17.60,$0.00,,,Fixed price,https://www.ebay.com/itm/377044627877
1966 P Jefferson Nickel *SPECIAL MINT SET* (SMS) UNCIRCULATED **FREE SHIPPING**,168205854248,"Mar 26, 2026",$1.92,$0.00,,,Fixed price,https://www.ebay.com/itm/168205854248
1965 1966 1967 Special Mint Sets SMS (15 Coins) in OGP Silver US Mint Sets,117080090714,"Mar 26, 2026",$67.95,$6.50,,,Fixed price,https://www.ebay.com/itm/117080090714
1966 SMS Roosevelt Dime Gem BU Special Mint Set CN-Clad,135758657480,"Mar 26, 2026",$1.55,$0.00,,,Fixed price,https://www.ebay.com/itm/135758657480
"1966 SPECIAL MINT SET (SMS), UNOFFICIAL PROOF SET FOR 1966, 40% SILVER",127049553787,"Mar 23, 2026",$17.00,$10.50,,,Fixed price,https://www.ebay.com/itm/127049553787
1966 SMS Kennedy Half Dollar Gem BU Special Mint Set 40% Silver See Pics M844,147196015574,"Mar 23, 2026",$17.93,$0.00,,,Fixed price,https://www.ebay.com/itm/147196015574
1965 1966 1967 SMS Silver Kennedy Half Dollar Run 3 Gem Special Mint Set Coins,147162321744,"Mar 22, 2026",$47.07,$3.95,,,Fixed price,https://www.ebay.com/itm/147162321744
"(6) 1966 Original US Special Mint Sets, SMS Uncirculated, 40% Silver Half Dollar",127727200556,"Mar 22, 2026",$105.59,$0.00,,,Fixed price,https://www.ebay.com/itm/127727200556
1966 SMS BU (Special Mint Set) 40% silver Kennedy half. Exact coin shown. #4,117088808774,"Mar 21, 2026",$17.25,$0.00,,,Fixed price,https://www.ebay.com/itm/117088808774
1966 SMS Kennedy Half Dollar Doubled Profile Special Mint Set See Pics M843,147196015545,"Mar 21, 2026",$53.96,$3.95,,,Fixed price,https://www.ebay.com/itm/147196015545
1966 US Special Mint Set SMS 5 Coins with 40% Silver Kennedy Half Dollar and Box,333359299067,"Mar 21, 2026",$26.55,$5.62,,,Fixed price,https://www.ebay.com/itm/333359299067,9
1966 SMS Kennedy Half Dollar Special Mint Set Pull US Mint Coin -40% Silver A2,157772666715,"Mar 20, 2026",$15.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157772666715
1966 SMS BU (Special Mint Set) 40% silver Kennedy half. Exact coin shown. #5,117088808982,"Mar 19, 2026",$17.25,$0.00,,,Fixed price,https://www.ebay.com/itm/117088808982
(10) 1966 SMS US Mint Sets Special Mint Sets 50 Coins OGP,146283964484,"Mar 19, 2026",$184.99,$0.00,,,Fixed price,https://www.ebay.com/itm/146283964484
1966 SPECIAL MINT SET (SMS) KENNEDY HALF DOLLAR NGC MS 67 Certified Coin,147149045018,"Mar 19, 2026",$70.00,$5.00,,,Fixed price,https://www.ebay.com/itm/147149045018
1966 P Washington Quarter *SPECIAL MINT SET* (SMS) UNCIRCULATED *FREE SHIPPING*,157725500813,"Mar 17, 2026",$2.98,$0.00,,,Fixed price,https://www.ebay.com/itm/157725500813
1966 SMS BU (Special Mint Set) 40% silver Kennedy half. Exact coin shown. #3,117088808385,"Mar 17, 2026",$17.25,$0.00,,,Fixed price,https://www.ebay.com/itm/117088808385
"1966 US SMS (special mint set) silver Kennedy, US Mint Packaging",157717880323,"Mar 17, 2026",$24.95,$0.00,,,Fixed price,https://www.ebay.com/itm/157717880323
,,"Mar 17, 2026",$2.98,$0.00,,,Fixed price,,6
1965 US Special Mint Set Coins In Genuine Government SMS Holder,177952487581,"Mar 16, 2026",$37.50,$0.00,,,Fixed price,https://www.ebay.com/itm/177952487581
1965 1966 1967 SMS Lincoln Memorial Cent Run 3 Choice Special Mint Set US.,401476612691,"Mar 15, 2026",$9.95,$0.00,,,Fixed price,https://www.ebay.com/itm/401476612691
1965 1966 1967 SMS Washington Quarter Gem Run 3 Gem Special Mint Set US Coins,202822401857,"Mar 14, 2026",$13.98,$3.95,,,Fixed price,https://www.ebay.com/itm/202822401857
1966 United States 5 Coin Special Mint Set SMS in OGP Box Included,157745520259,"Mar 14, 2026",$14.99,$4.99,,,Fixed price,https://www.ebay.com/itm/157745520259
1966 US Special Mint Set SMS 5 Coins with 40% Silver Kennedy Half Dollar and OGP,177777106430,"Mar 13, 2026",$26.00,$5.68,,,Fixed price,https://www.ebay.com/itm/177777106430
1966 SMS Kennedy Half Dollar Special Mint Set Pull US Mint Coin -40% Silver A1,157735371707,"Mar 13, 2026",$18.00,$0.00,,,Auction,https://www.ebay.com/itm/157735371707
,,"Mar 13, 2026",$24.86,$5.73,,,Fixed price,,7
"1965, 1966, 1967 US SMS (special mint sets) silver Kennedy's, US Mint Packages#2",157728820668,"Mar 10, 2026",$62.95,$0.00,,,Fixed price,https://www.ebay.com/itm/157728820668
"1966 SMS US Mint Set, Special Mint Set 5 Coins, No Box SCARCE Fast Ship 🚢",236621268839,"Mar 9, 2026",$23.95,$2.99,,,Fixed price,https://www.ebay.com/itm/236621268839
"1965, 1966, 1967 US SMS (special mint sets) silver Kennedy's, US Mint Packages",147187266326,"Mar 9, 2026",$62.95,$0.00,,,Fixed price,https://www.ebay.com/itm/147187266326
1966 + 1967 US Special Mint Sets - SMS with Free Shipping! Read Description,297982121512,"Mar 8, 2026",$32.67,$4.95,,,Fixed price,https://www.ebay.com/itm/297982121512
,,"Mar 8, 2026",$34.36,$4.95,,,Fixed price,,11
"1965, 1966, 1967 US SMS (special mint sets) silver Kennedy's, US Mint Packages#3",147187267907,"Mar 6, 2026",$62.95,$0.00,,,Fixed price,https://www.ebay.com/itm/147187267907
,,"Feb 28, 2026",$2.95,$0.00,,,Fixed price,,8
,,"Feb 16, 2026",$2.85,$0.00,,,Fixed price,,4
,,"Feb 15, 2026",$1.93,$0.00,,,Fixed price,,6
,,"Feb 15, 2026",$3.87,$0.00,,,Fixed price,,4
,,"Feb 5, 2026",$22.06,$1.49,,,Fixed price,,5
,,"Feb 4, 2026",$69.95,$4.21,,,Fixed price,,5
1966 SMS Silver Kennedy Half Dollar NGC MS67 Special Mint Set Gem 50c Portrait,355898809509,"Feb 2, 2026",$30.09,$0.00,,,Fixed price,https://www.ebay.com/itm/355898809509,17
Three United States Special Mint Sets 1965 1966 1967 SMS Lot w/ Free Shipping,292911830890,"Jan 24, 2026",$56.59,$0.00,,,Fixed price,https://www.ebay.com/itm/292911830890,16
,,"Jan 19, 2026",$20.45,$0.00,,,Fixed price,,12
,,"Jan 15, 2026",$14.64,$5.33,,,Fixed price,,8
,,"Jan 14, 2026",$11.90,$0.88,,,Fixed price,,4
